GeoName,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2,2019:Q3,2019:Q4,2020:Q1,2020:Q2,2020:Q3,2020:Q4,2021:Q1,2021:Q2,2021:Q3,2021:Q4,
Texas,38078,38782,39391,39849,41429,41882,42356,42418,43773,44127,43814,45239,44149,44707,44995,45300,46478,47237,47712,47987,47982,47522,47395,46991,46343,46276,46622,47125,48221,48867,49510,50306,51197,51685,52322,52811,53127,53230,53587,54007,53928,57213,55555,54878,61782,58311,58719,59843,
Utah,31852,31951,32323,32769,33751,34087,34368,34542,35496,35820,35534,37106,36095,36512,36772,36680,37494,37895,38288,38928,39899,40339,40590,40880,41358,41502,41825,42301,42575,43069,43697,44285,45226,45697,46240,46845,48317,48211,48757,49371,49711,53800,50953,52204,58085,53962,54355,55158,
Vermont,40838,41695,42096,42243,43336,43835,44119,44696,44761,45340,44900,46037,45270,45802,45847,46185,46416,47247,48054,48773,48455,48792,49039,49257,49474,49483,49735,49681,50314,50441,50865,51236,51641,52075,52373,52671,53804,53586,53909,54088,54995,61318,56693,56465,63087,58488,58464,58740,
Virginia,44772,45456,45767,46067,47116,47407,47867,47994,48837,49104,48996,50307,48546,48574,48479,48695,49470,50089,50578,51118,51598,52181,52498,52649,52750,52980,53367,53934,54355,54731,55159,55669,56078,56421,56970,57432,57946,58171,58628,59075,59786,63378,61645,61817,67830,63950,64524,65281,
Washington,41784,42217,42528,42801,43880,43944,44248,44846,46448,47105,47059,48638,47306,47600,48118,48293,49604,50471,51390,51976,52564,52966,53296,53384,54354,54566,54929,55800,56402,56852,57462,58327,59435,59703,60574,61010,62261,62517,62870,63585,64543,69214,67317,66709,73710,71051,71070,71683,
West Virginia,32103,32557,33138,33255,33936,34488,34856,35041,35240,35587,35265,35729,35270,35350,35272,35378,35806,36434,36798,37246,37349,37603,37528,37409,37199,37309,37371,37654,38681,38865,39338,39764,40324,40936,41771,42133,42281,42430,42451,42311,42697,48694,44101,43868,51109,46514,46519,47071,
Wisconsin,38396,38963,39373,39939,40771,41057,41612,41380,42489,42792,42547,43907,42637,43011,43203,43336,43798,44571,44915,45543,46007,46438,46745,46969,46902,47011,47400,47461,47999,48429,49103,49414,50224,50438,51050,51540,52009,52304,52420,52922,53221,57385,54210,55263,61303,57166,57612,58136,
Wyoming,45262,46214,47304,47814,49828,50215,50964,51820,53324,54362,53352,55920,53413,53543,53801,54571,56119,57503,58335,58867,58646,58007,57866,57055,55211,54646,54625,54992,55758,56868,57381,58260,59217,59958,60738,61369,61346,61214,61641,61971,61827,64998,60997,61754,68429,64459,64465,65115,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
